age,gender,porient_1,country,care1,care3,care4,care8,care11,care12,care13,care14,equalFairness6,equalFairness10,equality2,equality4,equality6,equality10,equality11,propFairness1,propFairness3,propFairness8,propFairness9,proportionality5,proportionality9,proportionality12,proportionality17,loyalty3,loyalty5,loyalty6,loyalty8,loyalty12,loyalty13,loyalty14,loyalty16,loyalty_new1,authority1,authority4,authority6,authority8,authority11,authority14,authority17,authority18,authority20,purity2,purity3,purity4,purity6,purity7,purity9,purity13,purity14,purity17,attention1,attention2,attention3,first_language,religion,religiosity_1,education,status
28,0,1,Nigeria,5,5,5,5,5,5,5,5,1,3,5,4,1,1,5,5,1,2,1,1,5,1,4,5,5,5,4,5,5,1,5,5,2,1,3,5,3,5,1,5,3,2,5,5,4,2,2,1,1,5,3,5,2,English,1,9,4,5
39,1,7,Mexico,3,2,2,3,2,2,2,2,2,3,2,1,1,2,3,3,1,2,2,2,4,3,2,2,3,2,3,3,4,3,4,3,4,2,4,4,3,3,2,2,4,2,4,2,1,2,2,1,2,2,3,5,2,Español,7,8,4,7
37,0,9,Kenya,5,5,5,5,5,5,5,5,1,5,5,1,1,1,5,5,5,3,2,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,3,2,5,5,5,3,5,2,Swahili,1,9,4,6
38,1,6,Peru,5,4,5,4,4,4,4,4,4,5,4,4,3,3,4,4,3,1,4,4,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,5,2,Castellano,1,9,3,5
38,1,6,Morocco,4,4,4,4,4,4,4,5,4,3,4,4,5,5,4,5,4,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,4,4,3,4,5,5,4,5,4,4,4,4,5,4,3,4,5,4,3,5,2,العربية,2,7,3,7
23,1,5,Japan,2,4,3,4,3,3,2,3,3,3,2,4,2,3,2,3,2,2,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,5,2,日本語,6,5,2,5
32,0,5,Saudi Arabia,5,5,5,5,4,5,5,4,4,4,4,4,1,3,4,5,2,5,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,3,5,2,العربيه,2,7,4,6
37,1,5,Morocco,3,2,3,4,5,3,3,3,4,4,4,4,4,3,3,3,4,3,2,3,4,3,3,3,4,3,4,4,3,3,4,4,3,4,4,3,3,4,5,5,3,5,3,5,3,3,4,1,1,3,3,5,2,العربية,2,5,2,5
31,1,10,Mexico,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,3,5,3,3,3,3,4,5,5,2,3,5,3,5,5,2,4,4,3,5,3,3,5,5,4,5,3,5,3,5,2,4,3,1,5,3,5,2,Español,7,5,4,5
26,0,5,Mexico,5,4,4,2,3,4,4,4,4,1,4,3,5,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,3,4,2,2,4,3,3,4,4,3,1,3,4,1,2,2,3,2,4,3,5,2,Español,7,5,4,5
26,1,4,Switzerland,5,5,3,5,4,5,2,5,2,5,2,4,4,4,4,4,5,3,3,4,5,2,4,5,3,5,4,4,3,5,3,4,4,4,4,4,4,3,3,4,4,3,3,4,3,2,4,4,3,3,3,5,2,French,1,7,4,8
25,1,5,Mexico,5,5,4,5,5,4,5,3,1,5,3,1,1,2,5,5,5,5,5,4,5,5,3,4,1,5,1,3,1,5,1,1,4,5,1,5,1,2,1,5,5,5,5,5,2,5,3,2,5,3,3,5,2,español,6,2,4,8
25,1,1,Morocco,5,5,1,5,5,5,5,5,4,1,5,5,1,5,1,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,3,5,2,العربية,2,7,6,8
38,1,5,Saudi Arabia,5,5,4,5,5,4,5,5,2,5,5,5,2,5,5,4,3,5,5,3,3,5,5,3,5,5,5,3,5,5,3,5,5,5,5,5,3,5,5,5,3,5,5,5,5,3,5,5,5,5,3,5,2,العربية,2,8,2,6
35,0,10,Kenya,4,5,4,4,4,5,3,4,2,5,5,1,2,2,4,4,5,4,3,2,5,2,4,2,3,4,2,5,3,5,3,1,5,3,4,5,4,4,4,4,4,4,4,4,3,2,3,4,4,5,3,5,2,Luo,1,5,4,5
26,1,6,Kenya,4,3,4,3,3,3,3,3,2,1,3,2,2,2,3,3,3,3,3,5,4,3,3,3,2,4,3,3,2,3,3,1,3,2,3,4,3,4,2,4,4,3,4,5,3,2,2,3,2,2,3,5,2,Luo,1,7,4,5
25,0,10,Peru,5,5,5,5,4,3,3,3,5,5,5,5,1,3,3,5,4,2,2,5,5,4,5,3,2,4,3,5,1,3,2,5,5,2,3,5,3,5,3,2,4,2,5,5,5,3,5,1,5,4,3,5,2,español,7,9,3,5
50,0,4,Nigeria,5,5,5,5,2,5,5,5,2,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,3,5,2,Yoruba,1,10,4,10
27,0,7,Egypt,5,4,5,5,5,5,5,5,5,3,4,4,2,4,5,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,2,4,5,5,5,5,4,5,5,2,5,3,5,5,3,5,2,العربيه,2,9,4,7
NA,1,1,Morocco,5,5,5,5,5,5,4,2,2,1,5,3,4,3,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,3,5,5,1,5,5,5,5,5,5,5,3,5,5,1,5,3,5,2,العربية,2,7,1,3
31,1,6,Nigeria,4,4,4,5,5,5,5,4,3,3,3,3,3,3,5,4,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,1,5,3,3,3,3,5,3,4,3,3,4,5,3,5,1,2,3,5,3,5,2,Yoruba,1,8,4,6
25,1,7,Saudi Arabia,5,5,1,5,5,4,4,5,2,5,5,4,3,4,5,5,4,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,5,4,4,5,4,4,5,4,2,5,4,5,5,3,5,5,5,5,3,5,2,العربيه,2,10,6,5
26,1,8,Peru,3,2,3,2,3,3,2,2,1,4,4,1,1,1,2,2,4,5,2,1,4,2,4,4,2,4,3,1,2,4,2,3,3,4,4,4,3,5,3,4,4,1,3,3,2,2,3,1,3,3,3,5,2,español,1,2,2,5
54,1,5,Morocco,5,5,5,4,5,4,5,4,3,4,4,3,1,3,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,5,5,5,5,4,4,3,4,1,5,3,5,2,Arabe,2,7,4,4
53,1,4,Ireland,4,4,4,4,5,3,4,4,2,4,4,2,4,3,4,5,4,3,3,4,4,4,4,4,4,3,4,4,5,4,5,4,4,4,4,4,5,4,5,4,4,3,4,5,4,4,4,3,4,4,3,5,2,English,1,6,4,7
33,0,5,Egypt,4,4,1,4,4,5,3,3,4,2,4,2,3,2,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,5,3,3,3,3,4,3,3,4,5,4,5,5,5,5,4,4,3,5,4,3,5,2,العربية,2,9,4,8
42,0,6,New Zealand,3,4,4,4,4,3,3,4,2,3,3,2,2,2,4,4,3,4,4,3,4,3,4,4,3,4,3,3,3,3,3,2,4,3,3,4,4,3,3,3,4,3,4,4,4,2,2,2,2,2,3,5,2,Rather not say,1,5,5,5
62,1,7,New Zealand,2,3,2,2,3,4,2,2,1,2,4,1,2,1,2,2,4,4,4,4,3,4,4,2,2,2,1,2,2,2,1,3,2,2,2,3,3,4,2,2,2,1,1,2,1,1,2,1,2,3,3,5,2,English,1,2,5,6
54,1,9,New Zealand,4,2,4,4,3,4,3,4,1,1,2,1,1,1,4,4,4,5,5,5,5,5,5,5,4,5,4,4,3,5,4,4,3,4,4,4,4,4,3,4,5,1,3,4,2,4,1,1,2,1,3,5,2,English,1,3,4,9
23,1,8,Chile,5,4,4,4,4,4,4,4,1,2,2,1,1,1,3,3,2,4,1,2,4,2,2,3,3,4,2,2,2,5,2,2,2,2,2,4,3,2,2,3,3,1,5,5,1,1,2,1,4,3,3,5,2,Español,1,4,4,5
54,0,9,South Africa,5,5,5,4,4,5,3,4,2,5,5,1,1,4,3,5,5,5,1,4,5,4,5,5,2,4,2,2,2,5,1,1,3,3,3,3,4,4,2,5,4,5,4,2,4,2,3,1,3,5,3,5,2,German,1,2,4,5
NA,1,6,Ireland,2,3,2,1,1,2,2,2,1,1,3,1,2,3,2,4,1,3,1,3,3,1,1,3,3,3,3,2,4,3,3,1,1,3,2,3,1,4,3,2,3,1,1,2,2,1,1,1,1,2,3,5,2,English,6,0,2,1
34,1,4,Ireland,3,4,5,4,4,5,5,4,2,3,4,3,2,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,2,2,3,4,3,4,3,3,3,4,3,3,3,3,2,3,3,3,5,2,Polish,1,6,4,4
49,0,5,Columbia,5,5,4,3,4,5,3,3,3,5,2,2,1,4,4,4,4,2,3,2,1,4,2,5,2,4,2,2,2,3,2,2,5,2,3,2,3,4,2,5,4,1,3,5,5,3,4,2,3,4,3,5,2,Español,7,7,6,2
46,0,2,France,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,3,4,4,5,4,5,4,4,4,4,4,4,5,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,5,3,3,5,2,FRANCAIS,6,5,2,8
37,0,3,Switzerland,4,4,5,5,4,4,4,4,3,4,4,3,3,3,5,3,3,3,3,3,4,3,5,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,1,2,3,1,4,2,3,5,2,german,6,6,5,8
34,1,3,Chile,5,4,5,4,4,4,4,4,2,2,4,3,2,2,4,3,3,4,1,2,4,2,3,3,1,4,1,2,1,3,1,3,3,1,3,4,5,3,5,3,5,1,3,4,1,1,2,1,4,2,3,5,2,Español,6,0,4,6
51,1,7,Ireland,2,3,3,3,2,4,4,4,2,1,3,2,1,2,2,4,3,2,2,2,3,2,2,4,2,4,1,2,2,4,2,2,2,1,5,2,2,4,4,4,2,2,4,4,1,2,2,1,2,3,3,5,2,French,1,3,4,5
22,0,1,Columbia,3,4,5,3,3,3,4,3,3,2,4,1,4,2,2,4,4,4,3,3,4,2,3,4,1,4,1,1,1,4,1,3,1,1,1,5,1,2,3,2,2,1,2,2,1,1,5,1,4,2,3,5,2,Español,6,0,3,5
34,1,4,New Zealand,4,4,3,5,4,4,3,3,1,3,3,1,1,1,1,4,5,5,5,5,5,5,4,3,4,4,4,2,4,2,3,2,5,4,2,5,2,4,4,4,3,2,2,4,1,3,1,1,2,4,3,5,2,Mandarin,6,0,3,6
18,0,10,South Africa,5,5,5,5,4,5,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,1,1,5,2,2,2,5,1,1,5,2,4,5,5,1,1,2,1,1,1,3,1,2,4,4,3,1,3,5,2,English,1,2,2,7
48,0,7,Argentina,5,5,5,5,5,5,4,4,4,4,5,4,5,5,4,2,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,4,5,5,5,5,5,4,1,5,4,1,2,4,1,3,2,3,5,2,"Español, castellano",1,4,2,5
27,0,8,Argentina,5,5,5,5,4,4,5,4,3,2,5,1,2,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,2,4,5,1,5,5,1,2,3,2,4,5,3,5,2,Español,1,5,6,6
55,1,8,Japan,3,2,3,3,3,3,2,2,2,1,1,1,3,1,3,5,3,4,3,4,3,3,3,3,3,2,4,3,3,2,3,3,3,2,2,4,2,2,2,3,3,3,1,4,4,2,2,2,2,4,3,5,2,日本語,6,0,4,6
27,1,5,Columbia,4,4,4,4,4,4,5,2,1,2,4,1,1,1,1,5,5,5,5,5,5,5,5,5,3,5,4,3,2,5,3,4,2,1,2,5,2,2,2,5,4,1,4,5,1,2,2,1,5,1,3,5,2,Español,7,4,6,3
50,1,10,Argentina,3,4,4,5,4,3,4,3,3,2,2,1,1,1,2,4,5,3,5,5,5,5,5,5,4,4,4,4,3,5,4,2,4,3,4,4,5,5,5,5,5,3,4,4,3,3,1,2,3,5,3,5,2,Español,1,9,3,4
40,0,5,Switzerland,1,1,4,1,2,1,2,2,3,2,4,3,4,3,3,1,2,3,1,2,3,3,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,5,2,Français,6,0,2,3
38,0,8,South Africa,5,5,4,5,5,5,4,1,2,2,5,2,1,2,2,5,3,2,5,5,5,2,5,3,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,3,5,3,3,5,2,5,1,3,5,2,South Sotho,1,5,3,7
